央视,#genre#
湖北卫视,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221226015/index.m3u8
湖南卫视,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221226000/index.m3u8
吉林卫视,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221226013/index.m3u8
吉林卫视,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225981/index.m3u8
江苏卫视,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225938/index.m3u8
江苏卫视,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225929/index.m3u8
江苏卫视,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江西卫视,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225935/index.m3u8
江西卫视,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
山东卫视,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225952/index.m3u8
山东卫视,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山西卫视,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221226009/index.m3u8
陕西卫视,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225989/index.m3u8
深圳卫视,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225997/index.m3u8
深圳卫视,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
深圳卫视,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225943/index.m3u8
四川卫视,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225970/index.m3u8
四川卫视,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225972/index.m3u8
天津卫视,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
浙江卫视,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
浙江卫视,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225959/index.m3u8
重庆卫视,http://freetv1.skycf.eu.org/hl2/PLTV/88888888/224/3221225963/index.m3u8
重庆卫视,http://freetv1.skycf.eu.org/hl1/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
大湾区卫视,http://freetv1.skycf.eu.org/p4/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
安多卫视,http://freetv1.skycf.eu.org/p3/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226228/index.m3u8
农林卫视,http://freetv1.skycf.eu.org/p2/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8
四川卫视,http://freetv1.skycf.eu.org/p7/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225768/index.m3u8
山西卫视,http://freetv1.skycf.eu.org/p7/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8
东南卫视,http://freetv1.skycf.eu.org/p7/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225766/index.m3u8
海南卫视,http://freetv1.skycf.eu.org/p2/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8
厦门卫视,http://freetv1.skycf.eu.org/p3/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226219/index.m3u8
河南卫视,http://freetv1.skycf.eu.org/p2/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225767/index.m3u8
河北卫视,http://freetv1.skycf.eu.org/p7/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225750/index.m3u8
吉林卫视,http://freetv1.skycf.eu.org/p7/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225792/index.m3u8
广西卫视,http://freetv1.skycf.eu.org/p2/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225770/index.m3u8
江西卫视,http://freetv1.skycf.eu.org/p7/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225764/index.m3u8
云南卫视,http://freetv1.skycf.eu.org/p4/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225751/index.m3u8
贵州卫视,http://freetv1.skycf.eu.org/p3/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8
宁夏卫视,http://freetv1.skycf.eu.org/p3/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225748/index.m3u8
甘肃卫视,http://freetv1.skycf.eu.org/p2/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225754/index.m3u8
西藏卫视,http://freetv1.skycf.eu.org/p7/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
康巴卫视,http://freetv1.skycf.eu.org/p2/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226234/index.m3u8
新疆卫视,http://freetv1.skycf.eu.org/p4/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225747/index.m3u8
兵团卫视,http://freetv1.skycf.eu.org/p4/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
内蒙古卫视,http://freetv1.skycf.eu.org/p3/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225786/index.m3u8
陕西卫视,http://freetv1.skycf.eu.org/p3/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8
